item,patent_id,title,abstract,label,confidence,rationale,insufficient_info
127,US10901834B2,Interactive troubleshooting assistant,"An interactive troubleshooting assistant and method for troubleshooting a system in real time to repair (fix) one or more problems in a system is disclosed. The interactive troubleshooting assistant and method may include receiving multimodal inputs from sensors, wearable devices, a person, etc. that may be input into a feature extractor including attention layers and pre-processing units of a cloud computing system hosted by one or more servers, such as a private cloud system. A pre-processing unit converts the raw multimodal input into a structed form so that an attention layer can give weights to features provided by the pre-processing unit according to their importance. The weighted extracted features may be provided to an actions predictor. The actions predictor generates the most suitable action based on the weighted extracted features generated by the feature extractor based on the multimodal inputs. After the most suitable action is performed, the interactive troubleshooting assistant considers new information from multimodal inputs so that the interactive troubleshooting assistant can provide the next recommended action. The interactive troubleshooting assistant may repeat these operations until the repair is completed.",,,,
128,US11450225B1,Machine grading of short answers with explanations,"An example method embodying the disclosed technology comprises: digitally storing Teacher models and a Student model at a server computer; training each model with a corpus of unlabeled training data using Masked Language Modeling; fine-tuning each Teacher model for an ASAG task with labeled ground truth data; executing each Teacher model to generate and digitally store a respective set of class probabilities on an unlabeled task-specific data set for the ASAG task; further training the Student model by a linear ensemble of the Teacher models using KD; receiving, at the server computer, digital input comprising a target response text and a corresponding target reference answer text; programmatically inputting the target response text and the corresponding target reference answer text to the Student model, thereby outputting a corresponding predicted binary label; displaying correction data indicating the corresponding predicted binary label in a GUI; and, optionally, displaying explainability data in the GUI.",,,,
129,US10089072B2, Intelligent device arbitration and control," This relates to systems and processes for using a virtual assistant to arbitrate among and/or control electronic devices. In one example process, a first electronic device samples an audio input using a microphone. The first electronic device broadcasts a first set of one or more values based on &hellip;",,,,
130,US10467510B2,Intelligent assistant,"Examples are disclosed herein that relate to entity tracking. One examples provides a computing device comprising a logic processor and a storage device holding instructions executable by the logic processor to receive image data of an environment including a person, process the image data using a face detection algorithm to produce a first face detection output at a first frequency, determine an identity of the person based on the first face detection output, and process the image data using another algorithm that uses less computational resources of the computing device than the face detection algorithm. The instructions are further executable to track the person within the environment based on the tracking output, and perform one or more of updating the other algorithm using a second face detection output, and updating the face detection algorithm using the tracking output.",,,,
131,US11521722B2,Capturing detailed structure from patient-doctor conversations for use in clinical documentation,A method and system is provided for assisting a user to assign a label to words or spans of text in a transcript of a conversation between a patient and a medical professional and form groupings of such labelled words or spans of text in the transcript. The transcript is displayed on an interface of a workstation. A tool is provided for highlighting spans of text in the transcript consisting of one or more words. Another tool is provided for assigning a label to the highlighted spans of text. This tool includes a feature enabling searching through a set of predefined labels available for assignment to the highlighted span of text. The predefined labels encode medical entities and attributes of the medical entities. The interface further includes a tool for creating groupings of related highlighted spans of texts. The tools can consist of mouse action or key strokes or a combination thereof.,,,,
132,US10664927B2,Automation of crowd-sourced polling,"Various technologies described herein pertain to automation of crowd-sourced polling. At least one query can be received. The at least one query includes a request. A poll can be automatically generated based upon the at least one query, where the poll corresponds to the request. The poll can be submitted to a crowdsourcing backend, where instances of the poll are administered on the crowdsourcing backend. Moreover, crowd-sourced responses to the instances of the poll can be retrieved from the crowdsourcing backend. The crowd-sourced responses to the instances of the poll can respectively include crowd-sourced responses to the request. The crowd-sourced responses to the request can be converted to a random variable. An operation can be performed upon the random variable. The operation can include one or more of a statistical analysis (e.g., hypothesis testing), bias correction, an arithmetic operation, expected value computation, standard deviation computation, etc.",,,,
133,US11580990B2,User-specific acoustic models,"Systems and processes for providing user-specific acoustic models are provided. In accordance with one example, a method includes, at an electronic device having one or more processors, receiving a plurality of speech inputs, each of the speech inputs associated with a same user of the electronic device; providing each of the plurality of speech inputs to a user-independent acoustic model, the user-independent acoustic model providing a plurality of speech results based on the plurality of speech inputs; initiating a user-specific acoustic model on the electronic device; and adjusting the user-specific acoustic model based on the plurality of speech inputs and the plurality of speech results.",,,,
134,US11392954B2,Hierarchical machine learning model for performing a decision task and an explanation task,"A multi-task hierarchical machine learning model is configured to perform both a decision task to predict a decision result and an explanation task to predict a plurality of semantic concepts for explainability associated with the decision task, wherein a semantic layer of the machine learning model associated with the explanation task is utilized as an input to a subsequent decision layer of the machine learning model associated with the decision task. Training data is received. The multi-task hierarchical machine learning model is trained using the received training data.",,,,
135,US10073840B2, Unsupervised relation detection model training, A relation detection model training solution. The relation detection model training solution mines freely available resources from the World Wide Web to train a relationship detection model for use during linguistic processing. The relation detection model training system searches the web for &hellip;,,,,
136,US11481656B2,"Method and apparatus for evaluating a matching degree of multi-domain information based on artificial intelligence, device and medium","The present disclosure provides a method and apparatus for evaluating a matching degree of multi-domain information based on artificial intelligence, a device and a medium. The method comprises: respectively obtaining valid words in a query, and valid words in each information domain in at least two information domains in a to-be-queried document; respectively obtaining word expressions of valid words in the query and word expressions of valid words in said each information domain in at least two information domains in the to-be-queried document; based on the word expressions, respectively obtaining context-based word expressions of valid words in the query and context-based word expressions of valid words in said each information domain; generating matching features corresponding to said each information domain according to the obtained information; determining a matching degree score between the query and the to-be-queried document according to the matching features corresponding to said each information domain.",,,,
137,US10909157B2,Abstraction of text summarization,"A system is disclosed for providing an abstractive summary of a source textual document. The system includes an encoder, a decoder, and a fusion layer. The encoder is capable of generating an encoding for the source textual document. The decoder is separated into a contextual model and a language model. The contextual model is capable of extracting words from the source textual document using the encoding. The language model is capable of generating vectors paraphrasing the source textual document based on pre-training with a training dataset. The fusion layer is capable of generating the abstractive summary of the source textual document from the extracted words and the generated vectors for paraphrasing. In some embodiments, the system utilizes a novelty metric to encourage the generation of novel phrases for inclusion in the abstractive summary.",,,,
138,US10424302B2,Turn-based reinforcement learning for dialog management,"Techniques are described related to turn-based reinforcement learning for dialog management. In various implementations, dialog states and corresponding responsive actions generated during a multi-turn human-to-computer dialog session may be obtained. A plurality of turn-level training instances may be generated, each including: a given dialog state of the plurality of dialog states at an outset of a given turn of the human-to-computer dialog session; and a given responsive action that was selected based on the given dialog state. One or more of the turn-level training instances may further include a turn-level feedback value that reflects on the given responsive action selected during the given turn. A reward value may be generated based on an outcome of the human-to-computer dialog session. The dialog management policy model may be trained based on turn-level feedback values of the turn-level training instance(s) and the reward value.",,,,
139,US10089580B2, Generating and using a knowledge-enhanced model," Functionality is described herein for generating a model on the basis of user-behavioral data and knowledge data. In one case, the user-behavioral data identifies queries submitted by users, together with selections made by the users in response to the queries. The knowledge data represents &hellip;",,,,
140,US10474962B2,Semantic entity relation detection classifier training,"Semantic entity relation detection classifier training implementations are presented that are generally used to train a semantic entity relation detection classifier to identify relations expressed in a natural language query. In one general implementation, queries are found in a search query click log that exhibit relations and entity types found in a semantic knowledge graph. Explicit relations are inferred from the found queries and an explicit relations data set is generated that includes queries associated with the inferred explicit relations. In addition, implicit relations are inferred from the found queries and an implicit relations data set is generated that includes queries associated with the inferred implicit relations. A semantic entity relation detection classifier is then trained using the explicit and implicit data sets.",,,,
141,US11252149B1,Resource management techniques for dialog-driven applications,"A resource of a dialog-driven management service is allocated for a first set of requests based on determining that a population of capacity indicators in a throttling data structure exceeds a threshold. One or more capacity indicator deduction iterations associated with the resource are conducted during a time interval for which the resource remains allocated for the first set of requests. In a given iteration, a number of capacity indicators is deducted from the throttling data structure based on a resource throttling setting. A second set of requests is rejected based on the population of the throttling data structure.",,,,
142,US10467509B2,Computationally-efficient human-identifying smart assistant computer,"A computationally-efficient method for a smart assistant computer to track a human includes receiving data from one or more sensors configured to monitor a physical environment. The data is computer-analyzed to recognize presence of a human in the physical environment, and upon confirming an identity of the human, a first level of computational resources of the smart assistant computer is dedicated to track the human. Upon failing to confirm the identity of the human while a known user is present, a second level of computational resources of the smart assistant computer, greater than the first level, is dedicated to determine the identity of the human. Upon failing to confirm the identity of the human while the known user is absent, a third level of computational resources of the smart assistant computer, is dedicated to determine the identity of the human.",,,,
143,US11025061B2,Predictive power usage monitoring,"A power usage prediction system implements a long short term memory (LSTM) neural network to receive power usage inputs and generate predicted values of power consumption for a plurality of devices. A user provides configuration input regarding the time steps at which the predicted values are to be generated and the various devices for which the predicted values of power consumption are desired. Whenever a power usage input is received, the LSTM neural network outputs the corresponding hidden state values for a plurality of time steps as the predicted values. The hidden state values are each compared to a final cell state value corresponding to a power consumption threshold of the time interval which includes the time steps. Based on the comparison, a power usage condition is recorded. Various actions to mitigate the high power consumption can be implemented in response to recording the power usage condition.",,,,
144,US10061848B2, Ontology-crowd-relevance deep response generation," Generating responses to input utilizing an ontology-crowd-relevance methodology is described. The techniques described herein access a plurality of data items and determine an ontology associated with the plurality of data items. The ontology includes one or more ontological elements. Furthermore, &hellip;",,,,
145,US11631401B1,Conversation system for detecting a dangerous mental or physical condition,"The present disclosure describes a system to use conversation data of patients to detect dangerous mental or physical conditions, such as suicidal thoughts, physical abuse, recent falls, and viral infection. A machine learning system may be trained to identify a dangerous mental or physical condition from conversations based on examples of patients evaluated to have a specific mental or physical condition. Conversations of patients may be monitored, natural language understanding (NLU) processing performed, and a machine learning system used to detect dangerous mental or physical conditions.",,,,
146,US11568423B2,"Multi-dimensional product information analysis, management, and application systems and methods","Disclosed here are methods of analyzing product-related datasets using a computer system including a product data collection; receiving a product-related data submission; identifying system-identified terms in the submission; generating a query dataset comprising search elements, such as lexical vector(s), semantic vector(s), or both; querying the product data collection and identifying datasets that sufficiently match aspect(s) of the query dataset; comparing the content of the submission and matching datasets to provide an output such as a determination of an error or omission in the submission, identifying a relationship between the submission product and a product associated with an identified dataset; or assessing one or more product status characteristics; and optionally performing additional applications, such as generating a regulatory authority submission based on the determination that the submission product is subject a regulatory requirements based on the comparison of the submission with the identified datasets.",,,,
147,US11195533B2,Systems and methods for incremental natural language understanding,"A system for incremental natural language understanding includes a media module, a memory storing a software code, and a hardware processor communicatively coupled to the media module. The hardware processor is configured to execute the software code to receive an audio stream including a first utterance, and generate a first and second incremental speech recognition outputs based on first and second portions of the first utterance. In addition, the hardware processor is configured to execute the software code to determine, prior to generating the second incremental speech recognition output, a first intent of the first utterance based on the first incremental speech recognition output. The hardware processor is further configured to execute the software code to retrieve a first resource based on the determined first intent, and incorporate the first resource in the media content to be played by the media module.",,,,
148,US10289952B2,Semantic frame identification with distributed word representations,"A computer-implemented technique can include receiving, at a server, labeled training data including a plurality of groups of words, each group of words having a predicate word, each word having generic word embeddings. The technique can include extracting, at the server, the plurality of groups of words in a syntactic context of their predicate words. The technique can include concatenating, at the server, the generic word embeddings to create a high dimensional vector space representing features for each word. The technique can include obtaining, at the server, a model having a learned mapping from the high dimensional vector space to a low dimensional vector space and learned embeddings for each possible semantic frame in the low dimensional vector space. The technique can also include outputting, by the server, the model for storage, the model being configured to identify a specific semantic frame for an input.",,,,
149,US10109275B2, Word hash language model," A language model may be used in a variety of natural language processing tasks, such as speech recognition, machine translation, sentence completion, part-of-speech tagging, parsing, handwriting recognition, or information retrieval. A natural language processing task may use a vocabulary of words &hellip;",,,,
150,US10607463B2,Automated object and activity tracking in a live video feed,"An apparatus is provided for automated object and activity tracking in a live video feed. The apparatus receives and processes a live video feed to identify a plurality of objects and activities therein. The apparatus also generates natural language text that describes a storyline of the live video feed using the plurality of objects and activities so identified. The live video feed is processed using computer vision, natural language processing and machine learning, and a catalog of identifiable objects and activities. The apparatus then outputs the natural language text audibly or visually with a display of the live video feed.",,,,
151,US11288452B2,Dual monolingual cross-entropy-delta filtering of noisy parallel data and use thereof,"Sentence pairs can be filtered using dual monolingual conditional cross-entropy filtering. The filtered sentence pairs can be used to train a model for performing a language processing task, such as machine translation.",,,,
152,US10740571B1,Generating neural network outputs using insertion operations,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for generating network outputs using insertion operations.",,,,
153,US11017765B2,Intelligent assistant with intent-based information resolution,"A method for use with a computing device is provided. The method may include executing one or more programs of an intelligent digital assistant system at a processor and presenting a user interface to a user. At the processor, the method may include receiving natural language user input from the user, parsing the user input at an intent handler to determine an intent template with slots, populating the slots in the intent template with information from user input, and performing resolution on the intent template to partially resolve unresolved information. If a slot with missing slot information exists in the partially resolved intent template, a loop may be executed at the processor to fill the slots. The method may include, at the processor, determining that all required information is available and resolved and generating a rule based upon the intent template with all required information being available and resolved.",,,,
154,US11586823B2,***WITHDRAWN PATENT AS PER THE LATEST USPTO WITHDRAWN LIST***Semantic representations using structural ontology for assistant systems,"In one embodiment, a method includes receiving a user input comprising a natural-language utterance by an assistant xbot from a client system associated with a user, determining a semantic representation of the user input based on a structural ontology defining a labeling syntax for parsing the natural-language utterance to semantic units comprising actions, objects, and attributes, wherein the semantic representation embeds at least one object within at least one action and declares at least one attribute of the embedded object to be acted upon, sending a request based on the semantic representation to an agent for executing a task corresponding to the user input, receiving results of the executed task mapped to a structure determined by the structural ontology from the agent, and sending from the assistant xbot to the client system instructions for presenting a response based on the results of the executed task.",,,,
155,US10489439B2,System and method for entity extraction from semi-structured text documents,"A method for extracting entities from a text document includes, for at least a section of a text document, providing a first set of entities extracted from the at least a section, clustering at least a subset of the extracted entities in the first set into clusters, based on locations of the entities in the document. Complete ones of the clusters of entities are identified. Patterns for extracting new entities are learned based on the complete clusters. New entities are extracted from incomplete clusters based on the learned patterns.",,,,
156,US11599960B2,System and method for recommending alternative service providers,"An automated system tracks digital service providers (DSP) data management agreements, DSP behavior, and user behavior, individually and in aggregate, to determine recommended alternatives for content/service sites/providers than those used by a user. The alternatives are selected based on their scoring and congruency or compliance with a user's target privacy data treatment parameters.",,,,
157,US11551004B2,Intent discovery with a prototype classifier,"In some applications, it may be desired to process a message to determine an intent of the message, where the intent indicates the meaning of the message. An intent classifier may be used to determine the meaning of a message by processing the message to compute a message embedding vector that represents the message in a vector space. Each possible intent may be represented by a prototype vector, and the intent of the message may be determined by comparing the message embedding to one or more prototype vectors, such as by selecting an intent whose prototype vector is closest to the message embedding. An intent classifier may be used, for example, (i) to implement an automated communications system with states where each state is associated with a subset of the possible intents or (ii) for processing usage data of a communications system to update the intents of the communications system.",,,,
158,US10109023B2, Social media events detection and verification, Systems and techniques for detecting and verifying social media events are disclosed. The system and techniques allow for processing of social media data to extract potentially valuable information in a timely manner and determine the veracity of the detected information. One implementation of the &hellip;,,,,
159,US11284473B2,Method and apparatus for intelligent WiFi connection management,"A method of an electronic device for a connection management is provided. The method comprises: establishing a communication link with an access point (AP); receiving a triggering indication based on link information measured by the electronic device; determining a quality of the communication link between the electronic device and the AP based on the received triggering indication; comparing, based on the determined quality of the communication link, at least two Q values fetched from a Q table that is determined according to context in which in the electronic device is being used; setting a quantized aggressive index (QAI) value based on the compared at least two Q values; and generating a disconnection command based on the QAI value, wherein the disconnection command is a physical disconnection command or a virtual disconnection command of the communication link between the electronic device and the AP.",,,,
160,US11445232B2,Content provisioning system and method,The invention provides a content provisioning system. A mobile device has a mobile device processor. The mobile device mobile device has communication interface connected to the mobile device processor and a first resource device communication interface and under the control of the mobile device processor to receive first content transmitted by the first resource device transmitter The mobile device mobile device has a mobile device output device connected to the mobile device processor and under control of the mobile device processor capable of providing an output that can be sensed by a user.,,,,
161,US10460229B1,Determining word senses using neural networks,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for disambiguating word sense. One of the methods includes maintaining a respective word sense numeric representation of each of a plurality of word senses of a particular word; receiving a request to determine the word sense of the particular word when included in a particular text sequence, the particular text sequence comprising one or more context words and the particular word; determining a context numeric representation of the context words in the particular text sequence; and selecting a word sense of the plurality of word senses having a word sense numeric representation that is closest to the context numeric representation as the word sense of the particular word when included in the particular text sequence.",,,,
162,US11544475B2,System and method for providing a model-based intelligent conversational agent,"A method of providing a conversational agent for interacting with a user may include declaratively defining a task model of a task using a task modelling language, storing the task model in a computer-readable storage medium, generating a natural language grammar based on the task model, storing the natural language grammar in the computer-readable storage medium, receiving a user input from the user, interpreting the user input with a processor based on the task model and the natural language grammar, generating an agent response to the user input with the processor based on the task model, and communicating the agent response to the user.",,,,
163,US10339935B2,Context-aware enrollment for text independent speaker recognition,"Techniques are provided for training of a text independent (TI) speaker recognition (SR) model. A methodology implementing the techniques according to an embodiment includes measuring context data associated with collected TI speech utterances from a user and identifying the user based on received identity measurements. The method further includes performing a speech quality analysis and a speaker state analysis based on the utterances, and evaluating a training merit value of the utterances, based on the speech quality analysis and the speaker state analysis. If the training merit value exceeds a threshold value, the utterances are stored as training data in a training database. The database is indexed by the user identity and the context data. The method further includes determining whether the stored training data has achieved a sufficiency level for enrollment of a TI SR model, and training the TI SR model for the identified user and context.",,,,
164,US11051739B2,Neural mapping,"An embodiment of the invention may include a method, computer program product and computer system for neural activity interpretation. The method, computer program product and computer system may include a computing device that presents a first user with a stimulus and monitors and maps the neural activity of the first user. The computing device may receive the first user's verbal reaction to the stimulus and map the linguistic data of the first user's verbal reaction to form a high dimensional vector based on the relationships of the mapped neural activity and the mapped verbal reaction of the first user. The computing device may associate the high dimensional vector with the stimulus presented resulting in a thoughts model. The computing device may receive a second user's neural activity and compare that second user's neural activity to the thoughts model to identify the neural activity in the second user.",,,,
165,US10043511B2, Domain terminology expansion by relevancy," Methods, computer program products, and systems are presented. The methods include, for instance: collecting various word data from cross-domain sources and subject websites; assessing relevancy of feature vectors from external domains, live content of subject websites, and secondary terms derived &hellip;",,,,
166,US11625573B2,Relation extraction from text using machine learning,"A first neural network is operated on a processor and a memory to encode a first natural language string into a first sentence encoding including a set of word encodings. Using a word-based attention mechanism with a context vector, a weight value for a word encoding within the first sentence encoding is adjusted to form an adjusted first sentence encoding. Using a sentence-based attention mechanism, a first relationship encoding corresponding to the adjusted first sentence encoding is determined. An absolute difference between the first relationship encoding and a second relationship encoding is computed. Using a multi-layer perceptron, a degree of analogical similarity between the first relationship encoding and a second relationship encoding is determined.",,,,
167,US10199051B2,Voice trigger for a digital assistant,"A method for operating a voice trigger is provided. In some implementations, the method is performed at an electronic device including one or more processors and memory storing instructions for execution by the one or more processors. The method includes receiving a sound input. The sound input may correspond to a spoken word or phrase, or a portion thereof. The method includes determining whether at least a portion of the sound input corresponds to a predetermined type of sound, such as a human voice. The method includes, upon a determination that at least a portion of the sound input corresponds to the predetermined type, determining whether the sound input includes predetermined content, such as a predetermined trigger word or phrase. The method also includes, upon a determination that the sound input includes the predetermined content, initiating a speech-based service, such as a voice-based digital assistant.",,,,
168,US11222262B2,Non-Markovian control with gated end-to-end memory policy networks,"A system and method for predicting a sequence of actions employ a Gated End-to-End Memory Policy Network (GMemN2NP), which includes a sequence of hop(s). Supporting memories of the hops include memory cells generated from observations made at different times. A sequence of actions is predicted, based on input agent-specific variables. For each action, the model, at each hop, outputs an updated controller state which is used as input to the next hop or, for the terminal hop, for computing the respective action. Each hop includes a transform gate mechanism which is used to control the influence of output of the supporting memories on the updated controller state. For the second and subsequent hops, respective actions are predicted, after using any intervening observations to update the supporting memories. The model is learned, on a training set of observations, to optimize the cumulative reward of a sequence of two or more actions.",,,,
169,US11501279B2,Appointment and payment handling,"An appointment and payment handling system may operate to handle payments for appointments based on user locations at times associated with appointments. The appointment and payment handling system may determine if a location of a customer device associated with a customer associated with an appointment matches a location associated with the appointment. If the locations match, the appointment and payment handling system may create a payment record for a payment to the merchant from the customer based on the determination that the customer location matches the location associated with the appointment.",,,,
170,US11354287B2,Local orthogonal decomposition for maximum inner product search,"Techniques of indexing a database and processing a query involve decomposing the residual term according to a projection matrix that is based on a given direction v. For example, for each database element of a partition, the residual for that database element is split into a component parallel to a given direction and a component perpendicular to that direction. The parallel component lies in a one-dimensional subspace spanned by the direction and may be efficiently quantized with a scalar quantization. The perpendicular component is quantized using multiscale quantization techniques. The quantized residual components and the center elements of each partition define the indexed database. Upon receipt of a query from a user, the inner products of q with the residual may be computed efficiently using the quantized residual components. From these inner products, the database elements that are most similar to the query are selected and returned to the user.",,,,
171,US10692504B2,User profiling for voice input processing,"This is directed to processing voice inputs received by an electronic device, and more specifically to receiving a voice input and identifying the user providing the voice input. The voice input can be processed using a subset of words from a library used to identify the words or phrases of the voice input. The subset can be selected such that voice inputs provided by the user are more likely to include words from the subset. The subset of the library can be selected using any suitable approach, including based on the user's interests and words that relate to those interests. For example, the subset can include one or more words related to media items selected by the user for storage on the electronic device, names of the user's contacts, applications or processes used by the user, or any other words relating to the user's interactions with the device.",,,,
172,US11238233B2,Artificial intelligence engine for generating semantic directions for websites for automated entity targeting to mapped identities,"A method and system for employing a Language Processing machine learning Artificial Intelligence engine to employ word embeddings and term frequency-inverse document frequency to create numerical representations of document meaning in a high-dimensional semantic space or an overall semantic direction. This semantic direction can be used to quantitatively measure semantic similarity between online content consumed by a potential prospect and a given product or product family. The AI can automate the process of creating audiences for on-line marketplaces for programmatic advertising purposes by using representative product descriptions, such as a grouping of product descriptions for scalable, cloud-based databases, and then creating a hyper-focused intent-based audience based on companies that are showing a significant increase in intent.",,,,
173,US11494613B2,Fusing output of artificial intelligence networks,"Fusion of trained artificial intelligence (AI) neural networks to produce more accurate classifications is disclosed. Concatenation from each network being merged may be performed. The new set of features, which includes the concatenated layers, is then fed through a new classifier to form a single final classifier that uses the best parts of each input classifier.",,,,
174,US10685189B2,System and method for coupled detection of syntax and semantics for natural language understanding and generation,"A method includes performing, with at least one processing device, natural language generation using both (i) a semantic word and clause representation generated from syntactically-labeled context and (ii) a syntax generated from common semantic relations between sequential words and clauses. Performing the natural language generation includes pushing words onto a stack based on the semantic word and clause representation and based on words and clauses already on the stack and popping the words and clauses off the stack to be replaced by clauses based on the syntax. Pushing the words onto the stack could be based only on components of the semantic word and clause representation coming from future context.",,,,
175,US11386369B2,Multi-attribute evaluation of narratives using event datasets,"Techniques for multi-attribute evaluation of narratives are provided. Inputs are obtained representing: (i) at least one historical dataset of events; (ii) a set of candidate narratives, wherein each candidate narrative is a potential future event sequence; and (iii) a query, wherein the query comprises one or more events of interest to a user. Attribute scores are computed for at least a subset of the candidate narratives based on at least a portion of the obtained input. One of the attribute scores comprises a plausibility attribute score representing a measure estimating the likelihood that a given candidate narrative will occur in the future. Another one of the attribute scores comprises a surprise attribute score representing a measure estimating how surprising a given candidate narrative will be to the user.",,,,
176,US10963273B2,Generating personalized content summaries for users,"In one embodiment, a method includes receiving a user request for a summarization of a particular type of content objects from a client system associated with a first user, determining one or more modalities associated with the user request, selecting a plurality of content objects of the particular type based on a user profile of the first user, wherein the user profile comprises one or more confidence scores associated with one or more subjects associated with the first user, respectively, and wherein the plurality of content objects are selected based on the one or more confidence scores, generating a summary of each content object based on the user profile and the determined modalities, and sending, to the client system in response to the user request, instructions for presenting the summaries of the plurality of content objects, wherein the summaries are presented via one or more of the determined modalities.",,,,
177,US10095692B2, Template bootstrapping for domain-adaptable natural language generation," The present invention relates to a system and method for bootstrapping templates for use in natural language sentence generation. More specifically, the present invention relates to identifying a set of candidate sentences from a large corpus based on a set of original templates by using a &hellip;",,,,
178,US10169656B2, Video system using dual stage attention based recurrent neural network for &hellip;," Systems and devices including an imaging sensor to capture video sequences in an environment having safety concerns therein. The systems and devices further including a processor to generate driving series based on observations from the video sequences, and generate predictions of future events &hellip;",,,,
179,US10592505B2,Natural language interfaces for databases using autonomous agents and thesauri,"An aspect of the present disclosure relate to translating natural language queries into native database queries. For example, a database application receives a natural language query from a user, divides the query into clauses, determines keywords from the clauses, and maps keywords in the query to native query that can query a database. In the case that the natural language query includes keywords that are not mapped, the application resolves an ambiguity by communicating with a user device. In the case that a keyword cannot be mapped, the application can map the keyword to a custom index that includes synonyms derived using pair-wise generalization or other techniques. Once all keywords are mapped, the database application generates a native database query and obtains results from a database.",,,,
180,US11341330B1,Applied artificial intelligence technology for adaptive natural language understanding with term discovery,"Disclosed herein is computer technology that provides adaptive mechanisms for learning concepts that are expressed by natural language sentences, and then applies this learning to appropriately classify new natural language sentences with the relevant concept that they express. The computer technology can also discover the uniqueness of terms within a training corpus, and sufficiently unique terms can be flagged for the user for possible updates to an ontology for the system.",,,,
181,US10097899B2, Systems and methods for searching media content," Systems and methods are described for searching media files using a set-top box (STB), a television receiver, digital video recorder (DVR), placeshifting device or other media device, or any type of network host that communicates with a media device of any sort. Search criteria is received from a &hellip;",,,,
182,US10198437B2,Machine translation device and machine translation method in which a syntax conversion model and a word translation model are combined,"The present invention relates to statistical machine translation, and provides a machine translation device and a machine translation method that acquire a creation probability for a target language from a single corpus while extracting respective conversion probabilities by extracting syntax conversion knowledge and word translation knowledge from a parallel corpus, model a weighted translation model by allowing each of the conversion knowledge and each of the probabilities to learn using a translation model learning device, and generate a target sentence through decoding processes of a syntax converter and a word translator by applying the translation model to a source sentence input in real time, thereby resolving disadvantages of the existing phrase-based SMT and syntax-based SMT and combining advantages thereof.",,,,
183,US11194998B2,Multi-user intelligent assistance,"An intelligent assistant records speech spoken by a first user and determines a self-selection score for the first user. The intelligent assistant sends the self-selection score to another intelligent assistant, and receives a remote-selection score for the first user from the other intelligent assistant. The intelligent assistant compares the self-selection score to the remote-selection score. If the self-selection score is greater than the remote-selection score, the intelligent assistant responds to the first user and blocks subsequent responses to all other users until a disengagement metric of the first user exceeds a blocking threshold. If the self-selection score is less than the remote-selection score, the intelligent assistant does not respond to the first user.",,,,
184,US10614171B2,Systems and methods for multi-user multi-lingual communications,"Various embodiments described herein facilitate multi-lingual communications. The systems and methods of some embodiments enable multi-lingual communications through different modes of communication including, for example, Internet-based chat, e-mail, text-based mobile phone communications, postings to online forums, postings to online social media services, and the like. Certain embodiments implement communication systems and methods that translate text between two or more languages. Users of the systems and methods may be incentivized to submit corrections for inaccurate or erroneous translations, and may receive a reward for these submissions. Systems and methods for assessing the accuracy of translations are described.",,,,
185,US10572603B2,Sequence transduction neural networks,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for generating a target sequence from an input sequence. In one aspect, a method comprises maintaining a set of current hypotheses, wherein each current hypothesis comprises an input prefix and an output prefix. For each possible combination of input and output prefix length, the method extends any current hypothesis that could reach the possible combination to generate respective extended hypotheses for each such current hypothesis; determines a respective direct score for each extended hypothesis using a direct model; determines a first number of highest-scoring hypotheses according to the direct scores; rescores the first number of highest-scoring hypotheses using a noisy channel model to generate a reduced number of hypotheses; and adds the reduced number of hypotheses to the set of current hypotheses.",,,,
186,US10997514B1,Systems and methods for automatic individual misconception remediation,Systems and methods for content selection with first and second recommendation engines are disclosed herein. The system can include a memory include a content library database and a model database. The system can include a user device having a first network interface and a first I/O subsystem. The system can include one or more servers that can include a packet selection system and a presentation system. These one or more servers can: receive response data from the user device; provide received response data to a first recommendation engine; alert a second recommendation engine when a selected next node is a placeholder node; retrieve at least one statistical model relevant to selection of next node content; and select next node content based on an output of the at least one statistical model.,,,,
187,US10956239B1,Utilizing source context and classification in a copy operation,"Aspects of the present invention disclose a method, computer program product, and system for augmenting a copy operation with contextual information from a source. The method includes one or more processors determining that a user provides input selecting content, within a document, and input adding the selected content to a clipboard. The method further includes one or more processors determining a classification of the selected content based on analyzing the selected content and the document utilizing Natural Language Processing (NLP). The method further includes one or more processors extracting information associated with the selected content from the document based on the determined classification. The method further includes one or more processors updating the clipboard with the selected content and the extracted information.",,,,
188,US11200895B2,Interaction with a portion of a content item through a virtual assistant,"Techniques for interacting with a portion of a content item through a virtual assistant are described herein. The techniques may include identifying a portion of a content item that is relevant to user input and causing an action to be performed related to the portion of the content item. The action may include, for example, displaying the portion of the content item on a smart device in a displayable format that is adapted to a display characteristic of the smart device, performing a task for a user that satisfies the user input, and so on.",,,,
189,US11361242B2,Generating recommendations using a deep-learning model,"In one embodiment, an embedding is determined for each entity in a set of entities that is selected from a plurality of entities. Each embedding corresponds to a point in an embedding space, which includes points corresponding to embeddings of entities. The embeddings of the entities are determined using a deep-learning model. Embeddings are determined for each entity attribute in a set of entity attributes. Each of the entity attributes in the set is of an entity-attribute type and is associated with at least one entity. The entity-attribute embeddings are refined using the deep-learning model. The embeddings of the entities in the set of entities are modified based on the entity-attribute embeddings that are associated with the respective entity to obtain updated embeddings for each entity in the set. The updated embeddings include information regarding the entity attributes that are associated with the respective entities.",,,,
